valley_name,day,ONA_TWS,ONA_HS,ONA_GS,GS_OFA,FPH,annual_total_flow,annual_regulated_flow
Macquarie,01/05/1890,33.127,0,100.03,0,0,959.8,393.52
Macquarie,02/05/1890,33.127,0,107.98,0,0,925.3,393.52
Macquarie,03/05/1890,33.127,0,107.97,0,0,891.3,390.34
Macquarie,04/05/1890,33.127,0,109.54,0,0,856.4,402.28
Macquarie,05/05/1890,33.127,0,110.24,0,0,826,402.27
Macquarie,06/05/1890,33.127,0,112.52,0,0,800.3,402.27
Macquarie,07/05/1890,33.127,0,112.52,0,0,770.6,402.27
Macquarie,08/05/1890,33.127,0,112.52,0,0,740.3,402.27
Macquarie,09/05/1890,33.128,0,114.5,0,0,715.2,402.28
Macquarie,10/05/1890,33.127,0,114.5,0,0,694.2,402.27
Macquarie,11/05/1890,33.127,0,114.49,0,0,672,402.27
Macquarie,12/05/1890,33.127,0,114.5,0,0,655.6,402.28
Macquarie,13/05/1890,33.127,0,114.5,0,0,646.9,402.27
Macquarie,14/05/1890,33.127,0,114.5,0,0,646.1,402.26
Macquarie,15/05/1890,33.127,0,114.49,0,0,632.9,402.28
Macquarie,16/05/1890,33.127,0,114.5,0,0,622.9,402.27
Macquarie,17/05/1890,33.127,0,0,0,0,604.5,379.95
Macquarie,18/05/1890,33.127,0,0,0,0,605.7,378.63
Macquarie,19/05/1890,33.128,0,27.43,0,0,594.3,377.88
Macquarie,20/05/1890,33.127,0,111.74,0,0,601.2,368.48
Macquarie,21/05/1890,33.127,0,111.75,0,0,603.4,367.74
Macquarie,22/05/1890,33.127,0,109.46,0,0,801.5,369.8
Macquarie,23/05/1890,33.127,0,86.09,0,0,857.2,412.14
Macquarie,24/05/1890,33.127,0,0,0,0,6474.6,436.35
Macquarie,25/05/1890,33.127,0,0,0,0,6769.6,443.1
Macquarie,26/05/1890,33.127,0,67.17,0,0,3177.5,340.38
Macquarie,27/05/1890,33.127,0,14.05,0,0,2379.5,341.13
Macquarie,28/05/1890,33.127,0,28.47,0,0,7744.1,313.89
Macquarie,29/05/1890,33.128,0,46.59,0,0,14333,313.88
Macquarie,30/05/1890,33.127,0,46.59,0,0,13540,203.25
Macquarie,31/05/1890,33.127,0,90.95,0,0,7668.9,208.44
Macquarie,01/06/1890,30.156,0,47.94,0,0,5955.1,217.1
Macquarie,02/06/1890,30.157,0,1.91,0,0,5520.2,217.11
Macquarie,03/06/1890,30.156,0,19.1,0,0,5106.8,211.26
Macquarie,04/06/1890,30.156,0,32.89,0,0,5580.3,209.26
Macquarie,05/06/1890,30.157,0,32.89,0,0,5020.8,210.02
Macquarie,06/06/1890,30.156,0,38.03,0,0,4160.1,211.18
Macquarie,07/06/1890,30.157,0,30.47,0,0,3839.8,211.18
Macquarie,08/06/1890,30.156,0,40.63,0,0,5002.3,210.42
Macquarie,09/06/1890,30.156,0,40.62,0,0,5426.7,210.02
Macquarie,10/06/1890,30.157,0,40.63,0,0,5105.7,211.18
Macquarie,11/06/1890,30.156,0,30.47,0,0,5411.7,211.18
Macquarie,12/06/1890,30.157,0,40.63,0,0,4657.6,210.42
Macquarie,13/06/1890,30.156,0,40.63,0,0,3850.7,210.02
Macquarie,14/06/1890,30.156,0,0,0,0,7233.2,211.18
Macquarie,15/06/1890,30.157,0,0,0,0,10964,210.42
Macquarie,16/06/1890,30.156,0,19.22,0,0,14940,210.02
Macquarie,17/06/1890,30.157,0,40.62,0,0,15085,211.18
Macquarie,18/06/1890,30.156,0,40.63,0,0,13234,210.02
Macquarie,19/06/1890,30.156,0,40.63,0,0,10172,211.18
Macquarie,20/06/1890,30.157,0,40.62,0,0,8853.9,210.03
Macquarie,21/06/1890,30.156,0,40.63,0,0,7944.6,211.18
Macquarie,22/06/1890,30.157,0,30.47,0,0,16193,233.04
Macquarie,23/06/1890,30.156,0,40.63,0,0,29050,209.26
Macquarie,24/06/1890,30.156,0,40.63,0,0,48995,210.41
Macquarie,25/06/1890,30.157,0,40.62,0,0,47778,300.74
Macquarie,26/06/1890,30.156,0,40.63,0,0,31765,235.66
Macquarie,27/06/1890,30.157,0,605.74,0,0,24205,203.13
Macquarie,28/06/1890,30.156,0,309.74,0,0,15339,203.13
Macquarie,29/06/1890,30.156,0,157.74,0.25,0,13412,167.42
Macquarie,30/06/1890,30.157,0,157.73,12.5,0,12677,168.18
Macquarie,01/07/1890,28.81,0,0,0,0,12052,184.36
Macquarie,02/07/1890,28.811,0,0,0,0,17791,205.69
Macquarie,03/07/1890,28.811,0,0,0,0,19578,205.54
Macquarie,04/07/1890,28.811,0,0,0,0,18390,204.81
Macquarie,05/07/1890,28.81,0,0,0,0,16885,205.53
Macquarie,06/07/1890,28.811,0,0,0,0,14910,198.82
Macquarie,07/07/1890,28.811,0,0,0,0,13370,196.38
Macquarie,08/07/1890,28.81,0,0,0,0,13407,188.61
Macquarie,09/07/1890,28.811,0,0,0,0,20581,186.18
Macquarie,10/07/1890,28.811,0,0,0,0,24236,190.97
Macquarie,11/07/1890,28.81,0,0,0,0,38974,188.85
Macquarie,12/07/1890,28.811,0,0,0,0,38523,171.65
Macquarie,13/07/1890,28.811,0,0,0,0,23350,167.76
Macquarie,14/07/1890,28.811,0,0,0,0,16206,167.22
Macquarie,15/07/1890,28.81,0,0,0,0,12197,166.67
Macquarie,16/07/1890,28.811,0,0,0,0,9905.7,158.81
Macquarie,17/07/1890,28.811,0,0,0,0,8377.2,158.82
Macquarie,18/07/1890,28.81,0,0,0,0,7206.4,159.54
Macquarie,19/07/1890,28.811,0,0,0,0,6198.2,169.5
Macquarie,20/07/1890,28.811,0,0,0,0,5360.4,182.83
Macquarie,21/07/1890,28.81,0,0,0,0,5836.7,195.59
Macquarie,22/07/1890,28.811,0,0,0,0,5982.1,165.3
Macquarie,23/07/1890,28.811,0,0,0,0,5415.5,157.65
Macquarie,24/07/1890,28.811,0,0,0,0,4954.1,169.85
Macquarie,25/07/1890,28.81,0,0,0,0,4574.6,186.78
Macquarie,26/07/1890,28.811,0,0,0,0,4556.9,213.27
Macquarie,27/07/1890,28.811,0,0,0,0,4365.8,213.28
Macquarie,28/07/1890,28.81,0,0,0,0,4194,212.11
Macquarie,29/07/1890,28.811,0,0,0,0,3936.2,213.28
Macquarie,30/07/1890,28.811,0,0,0,0,3422.6,285.56
Macquarie,31/07/1890,28.81,0,0,0,0,4857.6,285.57
Macquarie,01/08/1890,31.907,0,0,0,0,12443,284.84
Macquarie,02/08/1890,31.988,0,0,0,0,21833,283.68
Macquarie,03/08/1890,31.988,0,0,0,0,29720,286.79
Macquarie,04/08/1890,31.988,0,0,0,0,31106,287.94
Macquarie,05/08/1890,31.987,0,0,0,0,25200,288.56
Macquarie,06/08/1890,31.988,0,0,0,0,19301,287.94
Macquarie,07/08/1890,31.988,0,0,0,0,16516,289.71
Macquarie,08/08/1890,31.987,0,0,0,0,13945,289.71
Macquarie,09/08/1890,31.988,0,0,0,0,14083,286.79
Macquarie,10/08/1890,31.988,0,0,0,0,14147,287.94
Macquarie,11/08/1890,31.987,0,1.29,0,0,11928,287.94
Macquarie,12/08/1890,31.988,0,11.49,0,0,10146,289.71
Macquarie,13/08/1890,31.988,0,0,0,0,8932.2,289.71
Macquarie,14/08/1890,31.987,0,0,0,0,7909,288.56
Macquarie,15/08/1890,31.988,0,0,0,0,6909,287.94
Macquarie,16/08/1890,31.988,0,9.22,0,0,6115.8,289.71
Macquarie,17/08/1890,31.988,0,19.49,0,0,5536,305.05
Macquarie,18/08/1890,31.987,0,19.45,0,0,5276.8,305.04
Macquarie,19/08/1890,31.988,0,23.44,0,0,5238.7,305.04
Macquarie,20/08/1890,31.988,0,22.04,0,0,4609,305.05
Macquarie,21/08/1890,31.987,0,25.12,0,0,4262.5,305.04
Macquarie,22/08/1890,31.988,0,23.94,0,0,3862.3,305.05
Macquarie,23/08/1890,31.988,0,24.71,0,0,3587.9,305.04
Macquarie,24/08/1890,31.987,0,25.37,0,0,3245.1,305.04
Macquarie,25/08/1890,31.988,0,17.71,0,0,2991.2,305.05
Macquarie,26/08/1890,31.988,0,26.4,0,0,2777.2,411.02
Macquarie,27/08/1890,31.988,0,26.8,0,0,2594,414.1
Macquarie,28/08/1890,31.987,0,30.26,0,0,2436.8,425.99
Macquarie,29/08/1890,31.988,0,29.33,0,0,2256.2,420.05
Macquarie,30/08/1890,31.988,0,30.68,0,0,2131.3,444.86
Macquarie,31/08/1890,31.987,0,29.84,0,0,2044.2,444.78
Macquarie,01/09/1890,39.413,0,186.05,0,0,1940.5,440.66
Macquarie,02/09/1890,39.553,0,184.71,0,0,2154.9,439.13
Macquarie,03/09/1890,39.553,0,184.71,0,0,2845,2073.3
Macquarie,04/09/1890,39.554,0,184.69,0,0,2102.5,1169.9
Macquarie,05/09/1890,39.553,0,181.74,0,0,1656.9,450.34
Macquarie,06/09/1890,39.553,0,171.72,0,0,3876.9,450.34
Macquarie,07/09/1890,39.553,0,184.24,0,0,4937.7,449.21
Macquarie,08/09/1890,39.553,0,184.24,0,0,6748.5,447.39
Macquarie,09/09/1890,39.553,0,184.24,0,0,4061.3,449.2
Macquarie,10/09/1890,39.553,0,184.23,0,0,3852.5,444.29
Macquarie,11/09/1890,39.553,0,184.24,0,0,2698.9,434.23
Macquarie,12/09/1890,39.553,0,183.16,0,0,2041.8,434.24
Macquarie,13/09/1890,39.553,0,179.75,0,0,1780.8,357.56
Macquarie,14/09/1890,39.554,0,174.15,0,0,1753.6,356.43
Macquarie,15/09/1890,39.553,0,0,0,0,2556.8,357.35
Macquarie,16/09/1890,39.553,0,0,0,0,5127.1,4710
Macquarie,17/09/1890,39.553,0,0,0,0,5430.5,4756.9
Macquarie,18/09/1890,39.553,0,0,0,0,5637.4,4796
Macquarie,19/09/1890,39.553,0,0,0,0,5755.8,4815.6
Macquarie,20/09/1890,39.553,0,0,0,0,5627,4826.3
Macquarie,21/09/1890,39.553,0,0,0,0,6182.4,4833.2
Macquarie,22/09/1890,39.553,0,0,0,0,11306,4836.9
Macquarie,23/09/1890,39.553,0,0,0,0,11097,4836.5
Macquarie,24/09/1890,39.554,0,0,0,0,10284,4838.6
Macquarie,25/09/1890,39.553,0,0,0,0,8146.9,4841.2
Macquarie,26/09/1890,39.553,0,0,0,0,5968.3,4841.3
Macquarie,27/09/1890,39.553,0,0,0,0,4497.5,2247
Macquarie,28/09/1890,39.553,0,0,0,0,4472.9,2806.3
Macquarie,29/09/1890,39.553,0,0,0,0,5148.1,3867
Macquarie,30/09/1890,39.553,0,0,0,0,7273.8,4357.9
Macquarie,01/10/1890,44.203,0.4988,0,0,0,10050,4587.5
Macquarie,02/10/1890,44.246,5.7874,0,0,0,10696,4703.7
Macquarie,03/10/1890,44.247,14.96,0,0,0,9714.9,4838.6
Macquarie,04/10/1890,44.246,21.995,0,0,0,10162,4879.8
Macquarie,05/10/1890,44.247,26.071,0,0,0,9645.6,4710.6
Macquarie,06/10/1890,44.246,26.071,0,0,0,8872.6,4761.8
Macquarie,07/10/1890,44.247,27.519,2.18,0,0,8478.2,4832.1
Macquarie,08/10/1890,44.246,17,0,0,0,8029.3,4874.4
Macquarie,09/10/1890,44.247,22.522,0,0,0,7741.9,4890
Macquarie,10/10/1890,44.246,51.758,1.1,0,0,7709.8,5352.9
Macquarie,11/10/1890,44.247,47.899,9.23,0,0,7779.6,5617.2
Macquarie,12/10/1890,44.246,48.087,24.87,0,0,8028.9,6421.3
Macquarie,13/10/1890,44.247,44.453,0.2,0,0,7951.6,6567.7
