Basin_name,Category,AL,WaterType,purpose_des,WSP,WS,ShareComponent,Purpose,Long,Lat
Macquarie,AQUIFER,80AL719362,GW,MAKE UP ALLOCATION,AQUIFER,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,3,Z2,148.9296194,-32.5386222
Macquarie,AQUIFER,80AL719391,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,50,Z2,148.954079,-32.774813
Macquarie,AQUIFER,80AL719518,GW,PROPERTY ALLOCATION,AQUIFER,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,100,Z1,148.9311055,-32.6233583
Macquarie,AQUIFER,80AL719537,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,27,Z1,149.122337,-33.211848
Macquarie,AQUIFER,80AL719547,GW,DOMESTIC,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,50,J,148.955598,-32.139082
Macquarie,AQUIFER,80AL719549,GW,IRRIGATION,AQUIFER,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,77,I,148.6081711,-32.2177037
Macquarie,AQUIFER,80AL719565,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,180,Z2,149.229689,-32.466661
Macquarie,AQUIFER,80AL719576,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,30,Z2,149.720414,-31.821658
Macquarie,AQUIFER,80AL719948,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,19,Z2,149.565369,-31.852558
Macquarie,AQUIFER,80AL720008,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,19,Z2,149.560274,-31.861633
Macquarie,AQUIFER,80AL720064,GW,IRRIGATION,AQUIFER,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,72,I,148.92792,-32.6628
Macquarie,AQUIFER,80AL720066,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,12,Z2,149.507302,-32.490743
Macquarie,AQUIFER,80AL720068,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,4,Z2,149.570092,-33.413094
Macquarie,AQUIFER,80AL720070,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,80,Z2,148.92275,-32.541425
Macquarie,AQUIFER,80AL720072,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,41,Z2,148.9353434,-32.6220476
Macquarie,AQUIFER,80AL720074,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,25,Z2,149.461413,-32.784435
Macquarie,AQUIFER,80AL720196,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,60,Z1,149.8637444,-32.5725722
Macquarie,AQUIFER,80AL720200,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,8,Z1,149.1080944,-33.2892888
Macquarie,LOCAL WATER UTILITY,80AL720202,GW,PROPERTY ALLOCATION,LOCAL WATER UTILITY,MACQUARIE BOGAN UNREGULATED AND ALLUVIAL WATER SOURCES 2012,1700,Z1,149.6231249,-32.6143833
Macquarie,AQUIFER,80AL720211,GW,IRRIGATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,22,I,149.062292,-33.335663
Macquarie,AQUIFER,80AL720215,GW,MAKE UP ALLOCATION,AQUIFER,NSW GREAT ARTESIAN BASIN GROUNDWATER SOURCES 2008,30,Z2,148.60284,-31.643715
Macquarie,AQUIFER,80AL720227,GW,MAKE UP ALLOCATION,AQUIFER,NSW GREAT ARTESIAN BASIN GROUNDWATER SOURCES 2008,30,Z2,147.363694,-31.668722
Macquarie,AQUIFER,80AL720237,GW,MAKE UP ALLOCATION,AQUIFER,NSW GREAT ARTESIAN BASIN GROUNDWATER SOURCES 2008,30,Z2,148.822007,-32.109824
Macquarie,AQUIFER,80AL720239,GW,MAKE UP ALLOCATION,AQUIFER,NSW GREAT ARTESIAN BASIN GROUNDWATER SOURCES 2008,30,Z2,147.352026,-31.529556
Macquarie,AQUIFER,80AL720243,GW,PROPERTY ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,18,Z1,148.667304,-32.19105
Macquarie,AQUIFER,80AL720291,GW,MAKE UP ALLOCATION,AQUIFER,NSW GREAT ARTESIAN BASIN GROUNDWATER SOURCES 2008,50,Z2,147.930857,-31.704535
Macquarie,AQUIFER,80AL720293,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,50,Z2,149.632565,-32.119882
Macquarie,AQUIFER,80AL720295,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN POROUS ROCK GROUNDWATER SOURCES 2011,12,Z2,149.842481,-32.471568
Macquarie,AQUIFER,80AL720297,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,3,Z2,147.453903,-31.939314
Macquarie,AQUIFER,80AL720299,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,100,Z2,149.444947,-32.238048
Macquarie,AQUIFER,80AL720301,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,140,Z2,149.504391,-33.588719
Macquarie,AQUIFER,80AL720305,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,23,Z2,149.570712,-33.472723
Macquarie,AQUIFER,80AL722725,GW,PROPERTY ALLOCATION,AQUIFER,NSW GREAT ARTESIAN BASIN GROUNDWATER SOURCES 2008,25,Z1,148.223403,-31.667688
Macquarie,AQUIFER,80AL722761,GW,MAKE UP ALLOCATION,AQUIFER,NSW MURRAY DARLING BASIN FRACTURED ROCK GROUNDWATER SOURCES 2011,62,Z2,149.069512,-33.383089
