Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Piambong Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pipeclay Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queen Charlottes Vale Evans Plains Creek Water Source,0,0,0,0.947620282,0,0,0,0,0,0,0,0,0,0,0.658179777,0.658179777,0,0,0,0,0.658179777,0,0,0,0,0,0,0,0,0.368739273,0.079298768,0,0,0,0,0,0,0,0.368739273,0,0,0.947620282,0.368739273,0,0,0.947620282,0.368739273,0.368739273,0,0,0,0,0,0,0,0,0,0,0.079298768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079298768,0.658179777,0.947620282,1.237060786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646312717,0,0,0,0.440809958,0,0,0,0,0,0,0,0,0,0,0
Summerhill Creek Water Source,0,0,2.87094922,3.861985007,1.879913433,0.888877646,0.269480279,0,0.641118699,1.75603396,2.375431327,2.87094922,1.75603396,1.012757119,2.4993108,3.118708167,2.12767238,0,0,2.623190273,3.118708167,0,1.012757119,1.136636593,0.455299489,0.888877646,0.269480279,2.375431327,1.38439554,2.994828694,3.366467114,0,0,1.012757119,2.12767238,0,0.641118699,2.375431327,2.87094922,1.632154486,1.19857633,2.87094922,2.994828694,0,2.623190273,3.861985007,3.366467114,3.614226061,0,2.12767238,0,0,0,0,0.145600806,0,0,0.888877646,1.879913433,0,0,0,0,0.393359752,0,1.012757119,1.508275013,0.888877646,0.455299489,0,0,0,0,0,0,0,0,0,0,1.136636593,3.24258764,2.87094922,3.118708167,3.985864481,0,0.764998173,0.641118699,0,0.703058436,0,0,0.517239226,0,0,2.251551853,2.003792907,1.260516066,1.012757119,1.521901755,0,0,0,1.82664526,2.987395925,2.376670121,0.679521336,0.221662802,3.52490896,2.305377484,0.402031316,0.480075384,0,0,0.855430188,0.262047511,1.556588008,0.926660885,0,1.809921531
Turon Crudine River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Bogan River Water Source,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,20.57444137,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,9.812914016,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,24.74955675,25.44168817,25.44168817,25.44168817,25.44168817,0,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,3.539077532,25.44168817,25.44168817,25.44168817,25.44168817,15.39461907,0,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,1.32872233,24.10207896,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817,25.44168817
Upper Cudgegong River Water Source,0,0,16.26536967,12.94063945,0,0,16.26536967,0,0,0,0,0,0,0,0,0,0,0,0,9.615909232,14.04888286,0,0,0,0,0,0,0,0,4.074692198,1.858205384,0,0,0,0,0,0.749961977,0,11.83239605,2.966448791,12.94063945,15.15712627,12.94063945,0,0.749961977,0,0,8.507665825,0,5.182935604,0,0,0,0,6.291179011,0,0,0.749961977,0,0,0,0,0,0,0,6.291179011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.83239605,15.15712627,0,15.15712627,0,11.83239605,0.749961977,0,0,0,0,0,0,0.749961977,0,4.074692198,0,5.182935604,13.65102348,0,0,0,8.716015586,16.08805073,15.86086083,16.33851374,8.412356892,11.59301547,0,8.332563367,12.27569341,0,0,0,4.035903678,10.34845812,3.00523731,0,15.2446775
Upper Talbragar River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wambangalong Whylandra Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winburndale Rivulet Water Source,0,0,0.158366309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.184467545,1.184467545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8424338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52650129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042074836,0,0,0,0,0,0,0,0,0,0,0
